Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","37","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","25","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","44","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","-8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","-7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","64","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","53","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","69","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2016","2016","kg","1.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2017","2017","kg","1.76","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2018","2018","kg","1.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2019","2019","kg","1.8","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2016","2016","g/personne/jour","0.7","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2017","2017","g/personne/jour","0.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2018","2018","g/personne/jour","0.51","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2019","2019","g/personne/jour","0.64","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2016","2016","g","9049","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2017","2017","g","8334","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2018","2018","g","6967","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2019","2019","g","8931.44","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","1685","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","1665","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","1762","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","1816","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","510","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","514","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","515","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","488","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","54","I","Valeur imputée"
